timestep;x;y;z;w;p;r
7616;141.08548;121.085487;-204;-176;1;84
7620;141.50975;121.50975;-204.000015;-176;1;84
7624;141.93399;121.934006;-204;-176;1;84
7628;142.358307;122.358299;-204;-176;1;84
7632;142.782547;122.782547;-204;-176;1;84
7636;143.206772;123.206772;-204;-176;1;84
7640;143.631073;123.631088;-204;-176;1;84
7644;144.055359;124.055336;-204;-176;1;84
7648;144.479599;124.479607;-204;-176;1;84
7652;144.903854;124.90387;-204;-176;1;84
7656;145.32811;125.328125;-204;-176;1;84
7660;145.752411;125.752419;-203.999985;-176;1;84
7664;146.176636;126.176643;-204;-176;1;84
7668;146.600891;126.600876;-203.999985;-176;1;84
7672;147.025177;127.0252;-204;-176;1;84
7676;147.449417;127.449425;-203.999985;-176;1;84
7680;147.873718;127.873718;-204;-176;1;84
7684;148.297974;128.297974;-204;-176;1;84
7688;148.722214;128.722214;-204;-176;1;84
7692;149.146515;129.146515;-204;-176;1;84
7696;149.57077;129.570755;-204.000015;-176;1;84
7700;149.995056;129.995056;-204;-176;1;84
7704;150.419296;130.419296;-204.000015;-176;1;84
7708;150.843552;130.843552;-204;-176;1;84
7712;151.267838;131.267853;-203.999985;-176;1;84
7716;151.692062;131.692062;-204;-176;1;84
7720;152.116364;132.116364;-204;-176;1;84
7724;152.540604;132.540634;-204;-176;1;84
7728;152.964844;132.964844;-204;-176;1;84
7732;153.389145;133.389145;-204;-176;1;84
7736;153.8134;133.8134;-204;-176;1;84
7740;154.237701;134.237717;-204.000015;-176;1;84
7744;154.661926;134.661926;-204;-176;1;84
7748;155.086182;135.086182;-204;-176;1;84
7752;155.510483;135.510483;-204;-176;1;84
7756;155.934723;135.934723;-204;-176;1;84
7760;156.358963;136.358963;-204;-176;1;84
7764;156.783249;136.783264;-204;-176;1;84
7768;157.20752;137.207504;-204;-176;1;84
7772;157.63179;137.63179;-204;-176;1;84
7776;158.05603;138.056061;-204;-176;1;84
7780;158.480316;138.480301;-204;-176;1;84
7784;158.904572;138.904572;-204;-176;1;84
