timestep;x;y;z;w;p;r
1796;-80;-120.000008;-96.538803;-176;1;84
1800;-80;-120;-96.698799;-176;1;84
1804;-80;-120;-96.858803;-176;1;84
1808;-80;-120;-97.018799;-176;1;84
1812;-80;-120.000008;-97.178795;-176;1;84
1816;-80;-120.000008;-97.338806;-176;1;84
1820;-80;-119.999992;-97.498802;-176;1;84
1824;-80;-119.999992;-97.658798;-176;1;84
1828;-80;-120.000008;-97.81881;-176;1;84
1832;-80;-120;-97.97879;-176;1;84
1836;-80;-120;-98.138794;-176;1;84
1840;-80;-119.999992;-98.298805;-176;1;84
1844;-80;-120.000008;-98.458794;-176;1;84
1848;-80;-120.000008;-98.618805;-176;1;84
1852;-80;-119.999992;-98.778801;-176;1;84
1856;-80;-119.999992;-98.938789;-176;1;84
1860;-80;-120.000008;-99.098801;-176;1;84
1864;-80;-120;-99.258797;-176;1;84
1868;-80;-120.000008;-99.4188;-176;1;84
1872;-80;-119.999992;-99.578796;-176;1;84
1876;-80;-119.999992;-99.738792;-176;1;84
1880;-80;-120.000008;-99.898804;-176;1;84
1884;-80;-119.999992;-100.0588;-176;1;84
1888;-80;-120.000008;-100.218803;-176;1;84
1892;-80;-119.999992;-100.378807;-176;1;84
1896;-80;-120.000008;-100.538788;-176;1;84
1900;-80;-120.000008;-100.698799;-176;1;84
1904;-80;-119.999992;-100.858803;-176;1;84
1908;-80;-119.999992;-101.018791;-176;1;84
1912;-80;-120;-101.178802;-176;1;84
1916;-80;-120;-101.338806;-176;1;84
1920;-80;-120.000008;-101.498795;-176;1;84
1924;-80;-119.999992;-101.658798;-176;1;84
1928;-80;-120.000008;-101.81881;-176;1;84
1932;-80;-120.000008;-101.978798;-176;1;84
1936;-80;-119.999992;-102.138802;-176;1;84
1940;-80;-120;-102.298805;-176;1;84
1944;-80;-120;-102.458794;-176;1;84
1948;-80;-120;-102.618805;-176;1;84
1952;-80;-120.000008;-102.778801;-176;1;84
1956;-80;-119.999992;-102.938805;-176;1;84
1960;-80;-120.000008;-103.098801;-176;1;84
1964;-80;-119.999992;-103.258797;-176;1;84
1968;-80;-120;-103.4188;-176;1;84
1972;-80;-120;-103.578796;-176;1;84
1976;-80;-120;-103.7388;-176;1;84
1980;-80;-120;-103.898804;-176;1;84
1984;-80;-119.999992;-104.0588;-176;1;84
1988;-80;-120;-104.218796;-176;1;84
1992;-80;-120;-104.378799;-176;1;84
1996;-80;-119.999992;-104.538795;-176;1;84
2000;-80;-120;-104.698799;-176;1;84
2004;-80;-120.000008;-104.858803;-176;1;84
2008;-80;-120;-105.018799;-176;1;84
2012;-80;-120;-105.178795;-176;1;84
2016;-80;-119.999992;-105.338799;-176;1;84
2020;-80;-120;-105.498795;-176;1;84
2024;-80;-120;-105.658798;-176;1;84
2028;-80;-119.999992;-105.818794;-176;1;84
2032;-80;-120;-105.978798;-176;1;84
2036;-80;-120.000008;-106.138802;-176;1;84
2040;-80;-120;-106.298798;-176;1;84
2044;-80;-120;-106.458801;-176;1;84
2048;-80;-119.999992;-106.618782;-176;1;84
2052;-80;-120;-106.778801;-176;1;84
2056;-80;-120;-106.938797;-176;1;84
2060;-80;-120;-107.098793;-176;1;84
2064;-80;-120;-107.258804;-176;1;84
2068;-80;-120.000008;-107.418808;-176;1;84
2072;-80;-120;-107.578796;-176;1;84
2076;-80;-120;-107.738792;-176;1;84
2080;-80;-120;-107.898796;-176;1;84
2084;-80;-120;-108.058784;-176;1;84
2088;-80;-119.999992;-108.218796;-176;1;84
2092;-80;-120;-108.378799;-176;1;84
2096;-80;-120;-108.538795;-176;1;84
2100;-80;-119.999992;-108.698799;-176;1;84
2104;-80;-120;-108.858795;-176;1;84
2108;-80;-119.999992;-109.018799;-176;1;84
2112;-80;-120;-109.178795;-176;1;84
2116;-80;-120;-109.338799;-176;1;84
2120;-80;-119.999992;-109.49881;-176;1;84
2124;-80;-120;-109.658791;-176;1;84
2128;-80;-120;-109.818794;-176;1;84
2132;-80;-120.000008;-109.978813;-176;1;84
2136;-80;-120;-110.138794;-176;1;84
2140;-80;-119.999992;-110.29879;-176;1;84
2144;-80;-120.000008;-110.458809;-176;1;84
2148;-80;-120;-110.61879;-176;1;84
2152;-80;-119.999992;-110.778793;-176;1;84
2156;-80;-120;-110.938805;-176;1;84
2160;-80;-119.999992;-111.098793;-176;1;84
2164;-80;-120.000008;-111.258812;-176;1;84
2168;-80;-120;-111.418793;-176;1;84
2172;-80;-119.999992;-111.578789;-176;1;84
2176;-80;-120.000008;-111.7388;-176;1;84
2180;-80;-119.999992;-111.898796;-176;1;84
2184;-80;-120.000008;-112.058807;-176;1;84
2188;-80;-120.000008;-112.218796;-176;1;84
2192;-80;-119.999992;-112.378792;-176;1;84
2196;-80;-120.000008;-112.538803;-176;1;84
2200;-80;-120;-112.698792;-176;1;84
2204;-80;-120.000008;-112.85881;-176;1;84
2208;-80;-119.999992;-113.018814;-176;1;84
2212;-80;-119.999992;-113.178795;-176;1;84
2216;-80;-120.000008;-113.338806;-176;1;84
2220;-80;-120;-113.498795;-176;1;84
2224;-80;-120;-113.658791;-176;1;84
2228;-80;-119.999992;-113.81881;-176;1;84
2232;-80;-119.999992;-113.97879;-176;1;84
2236;-80;-120.000008;-114.138802;-176;1;84
2240;-80;-120.000008;-114.298805;-176;1;84
2244;-80;-119.999992;-114.458794;-176;1;84
2248;-80;-120.000008;-114.618813;-176;1;84
2252;-80;-120;-114.778793;-176;1;84
2256;-80;-120.000008;-114.938797;-176;1;84
2260;-80;-119.999992;-115.098793;-176;1;84
2264;-80;-119.999992;-115.258789;-176;1;84
2268;-80;-120.000008;-115.418808;-176;1;84
2272;-80;-120.000008;-115.578804;-176;1;84
2276;-80;-120;-115.7388;-176;1;84
2280;-80;-120;-115.898796;-176;1;84
2284;-80;-120;-116.0588;-176;1;84
2288;-80;-120.000008;-116.218788;-176;1;84
2292;-80;-119.999992;-116.378799;-176;1;84
2296;-80;-119.999992;-116.538795;-176;1;84
2300;-80;-120;-116.698799;-176;1;84
2304;-80;-120.000008;-116.858803;-176;1;84
2308;-80;-120;-117.018799;-176;1;84
2312;-80;-120;-117.178795;-176;1;84
2316;-80;-120;-117.338799;-176;1;84
2320;-80;-120.000008;-117.498802;-176;1;84
2324;-80;-120.000008;-117.658798;-176;1;84
2328;-80;-120;-117.818794;-176;1;84
2332;-80;-120;-117.978798;-176;1;84
2336;-80;-120;-118.138794;-176;1;84
2340;-80;-120.000008;-118.298798;-176;1;84
2344;-80;-119.999992;-118.458794;-176;1;84
2348;-80;-120;-118.618797;-176;1;84
2352;-80;-120;-118.778793;-176;1;84
2356;-80;-120.000008;-118.938797;-176;1;84
2360;-80;-120;-119.098808;-176;1;84
2364;-80;-120;-119.258797;-176;1;84
2368;-80;-120;-119.4188;-176;1;84
2372;-80;-120.000008;-119.578796;-176;1;84
2376;-80;-119.999992;-119.738792;-176;1;84
2380;-80;-119.999992;-119.898788;-176;1;84
2384;-80;-120;-120.0588;-176;1;84
2388;-80;-120.000008;-120.218796;-176;1;84
