timestep;x;y;z;w;p;r
4668;74.588417;19.451221;-204;-176;1;84
4672;74.786972;19.715961;-204;-176;1;84
4676;74.986053;19.981415;-204;-176;1;84
4680;75.185745;20.247662;-204;-176;1;84
4684;75.386009;20.514679;-204;-176;1;84
4688;75.586838;20.782457;-204;-176;1;84
4692;75.788338;21.051113;-204;-176;1;84
4696;75.990433;21.320581;-204;-176;1;84
4700;76.193207;21.59095;-204;-176;1;84
4704;76.396622;21.862165;-204;-176;1;84
4708;76.600716;22.134291;-204;-176;1;84
4712;76.805534;22.407375;-204;-176;1;84
4716;77.011047;22.6814;-204;-176;1;84
4720;77.217308;22.956421;-204.000015;-176;1;84
4724;77.424294;23.232395;-204;-176;1;84
4728;77.632057;23.509403;-204;-176;1;84
4732;77.840622;23.787497;-204;-176;1;84
4736;78.049988;24.066647;-204;-176;1;84
4740;78.260178;24.346901;-204;-176;1;84
4744;78.471184;24.62825;-204;-176;1;84
4748;78.683067;24.910759;-204.000015;-176;1;84
4752;78.895851;25.194475;-204;-176;1;84
4756;79.109528;25.47937;-204;-176;1;84
4760;79.324104;25.76548;-204;-176;1;84
4764;79.539665;26.052887;-204;-176;1;84
4768;79.75618;26.34157;-204;-176;1;84
4772;79.973694;26.631586;-204;-176;1;84
4776;80.192184;26.922911;-204;-176;1;84
4780;80.411728;27.215637;-204;-176;1;84
4784;80.632355;27.509798;-204.000015;-176;1;84
4788;80.853996;27.80534;-204;-176;1;84
4792;81.076813;28.102428;-204;-176;1;84
4796;81.300735;28.400982;-204;-176;1;84
4800;81.525795;28.701057;-204;-176;1;84
4804;81.752068;29.002758;-204;-176;1;84
4808;81.979538;29.306051;-204;-176;1;84
4812;82.208252;29.611;-204;-176;1;84
4816;82.43821;29.917614;-204;-176;1;84
4820;82.669464;30.22595;-204;-176;1;84
4824;82.902077;30.536093;-204;-176;1;84
4828;83.135994;30.847992;-204;-176;1;84
4832;83.371323;31.161766;-203.999985;-176;1;84
4836;83.608047;31.477396;-204;-176;1;84
4840;83.846214;31.794947;-204;-176;1;84
4844;84.085876;32.114498;-204;-176;1;84
4848;84.327034;32.436039;-204;-176;1;84
4852;84.569733;32.759647;-204.000015;-176;1;84
4856;84.814049;33.085411;-204;-176;1;84
4860;85.059952;33.413265;-204;-176;1;84
4864;85.307533;33.743374;-203.999985;-176;1;84
4868;85.556778;34.075691;-204;-176;1;84
4872;85.807732;34.410316;-204;-176;1;84
4876;86.060509;34.747341;-204;-176;1;84
4880;86.315071;35.086761;-204;-176;1;84
4884;86.57151;35.428673;-204;-176;1;84
4888;86.829811;35.773083;-204;-176;1;84
4892;87.090042;36.12006;-204;-176;1;84
4896;87.352303;36.469742;-204;-176;1;84
4900;87.61657;36.822098;-204.000015;-176;1;84
4904;87.882942;37.177254;-204;-176;1;84
4908;88.15139;37.535191;-204;-176;1;84
4912;88.422035;37.896057;-204;-176;1;84
4916;88.694946;38.259926;-204;-176;1;84
4920;88.9701;38.626804;-204;-176;1;84
4924;89.247627;38.996841;-204;-176;1;84
4928;89.527519;39.370026;-204;-176;1;84
4932;89.80986;39.746479;-204;-176;1;84
4936;90.094727;40.126312;-204;-176;1;84
4940;90.382156;40.509556;-204;-176;1;84
4944;90.672249;40.896336;-204;-176;1;84
4948;90.965004;41.286674;-204;-176;1;84
4952;91.260529;41.680702;-204.000015;-176;1;84
4956;91.558907;42.078541;-203.999985;-176;1;84
4960;91.860153;42.480209;-203.999985;-176;1;84
4964;92.164375;42.885834;-204;-176;1;84
4968;92.471695;43.295589;-204.000015;-176;1;84
4972;92.782074;43.709431;-204;-176;1;84
4976;93.095703;44.127609;-204;-176;1;84
4980;93.41259;44.550117;-204;-176;1;84
4984;93.732834;44.977108;-204;-176;1;84
4988;94.056564;45.408749;-204;-176;1;84
4992;94.383797;45.845066;-204;-176;1;84
4996;94.714691;46.286263;-204.000015;-176;1;84
5000;95.049271;46.732349;-204;-176;1;84
5004;95.38765;47.18354;-204;-176;1;84
5008;95.730011;47.640022;-204;-176;1;84
5012;96.076324;48.101772;-204;-176;1;84
5016;96.426796;48.569065;-204;-176;1;84
5020;96.781456;49.041943;-204;-176;1;84
5024;97.140388;49.520519;-204;-176;1;84
5028;97.50042;50.000565;-204;-176;1;84
5032;97.860397;50.480522;-204;-176;1;84
5036;98.220421;50.960567;-204;-176;1;84
5040;98.580406;51.440548;-203.999985;-176;1;84
5044;98.940399;51.92054;-204;-176;1;84
5048;99.300423;52.400562;-204;-176;1;84
5052;99.6604;52.880539;-204;-176;1;84
5056;100.020393;53.360527;-204;-176;1;84
5060;100.380417;53.840553;-204;-176;1;84
5064;100.740387;54.32053;-204;-176;1;84
5068;101.100426;54.800564;-204;-176;1;84
5072;101.460403;55.280533;-204;-176;1;84
5076;101.820389;55.760517;-204;-176;1;84
5080;102.180412;56.240555;-204;-176;1;84
5084;102.54039;56.720512;-203.999985;-176;1;84
5088;102.900421;57.200569;-204;-176;1;84
5092;103.260414;57.680546;-204;-176;1;84
5096;103.620377;58.160507;-204;-176;1;84
5100;103.980408;58.640553;-203.999985;-176;1;84
5104;104.340401;59.120541;-204;-176;1;84
5108;104.700432;59.600574;-204;-176;1;84
5112;105.060402;60.080544;-204;-176;1;84
5116;105.420395;60.560528;-204;-176;1;84
5120;105.780426;61.040565;-204;-176;1;84
5124;106.140396;61.520527;-204;-176;1;84
5128;106.500427;62.000568;-204;-176;1;84
5132;106.860413;62.480556;-204.000015;-176;1;84
5136;107.22039;62.960514;-204;-176;1;84
5140;107.580414;63.440559;-204;-176;1;84
5144;107.940399;63.920536;-204;-176;1;84
5148;108.300423;64.400566;-204;-176;1;84
5152;108.660416;64.880539;-204;-176;1;84
5156;109.020393;65.360535;-204;-176;1;84
5160;109.380409;65.840546;-204;-176;1;84
5164;109.74041;66.320534;-204;-176;1;84
5168;110.100388;66.800522;-204;-176;1;84
5172;110.460419;67.280556;-204;-176;1;84
5176;110.820396;67.760529;-204.000015;-176;1;84
5180;111.180428;68.240562;-204.000015;-176;1;84
5184;111.540405;68.720551;-203.999985;-176;1;84
